지역,대학,계열,전형유형,전형명,모집단위명,2018,2019,2020,2021,2022,경쟁률 추이
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,경영학과,1.6,3.43,3.25,4.75,,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,"경찰행정학부
(경찰행정학전공,해양경찰학전공)",,,3.53,2.8,,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,관광경영학과,1.75,3.6,3.5,2.25,,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,광고홍보학과,1,2.5,3.67,2.33,,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,국어교육과,2,12.8,3.25,2.75,4.33,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,사회복지학과,2.5,12,12,6.75,,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,역사교육과,7,6.4,6.75,6.5,5.5,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,영어교육과,1.25,1.8,2.75,2.5,1.67,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,의료경영학과,1,2.29,3,2.5,,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,조리외식경영학과,1.67,3.83,6.5,4.75,,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,지리교육과,3,1.8,2.5,3.5,2.5,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,콘텐츠제작학과,2.5,2.6,3.67,2.67,,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,항공교통물류학과,2.75,2.5,3.5,1.75,,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,항공운항서비스학과,5.7,4.7,3.96,2.21,,
강원,가톨릭관동대,인문,1.학생부종합,CKU종합전형,호텔경영학과,2,4,4,3,,
강원,가톨릭관동대,인문,1.학생부종합,가톨릭지도자추천전형,"경찰행정학부
(경찰행정학전공,해양경찰학전공)",2.6,3,3,1,,
강원,가톨릭관동대,인문,1.학생부종합,가톨릭지도자추천전형,관광경영학과,1,2.5,1.5,1,,
강원,가톨릭관동대,인문,1.학생부종합,가톨릭지도자추천전형,국어교육과,2,2,1,3,1,
강원,가톨릭관동대,인문,1.학생부종합,가톨릭지도자추천전형,사회복지학과,1.5,2.33,2.25,1.25,,
강원,가톨릭관동대,인문,1.학생부종합,가톨릭지도자추천전형,역사교육과,1.5,4,5,2,3,
강원,가톨릭관동대,인문,1.학생부종합,가톨릭지도자추천전형,영어교육과,0.5,1.5,1,1,,
강원,가톨릭관동대,인문,1.학생부종합,가톨릭지도자추천전형,조리외식경영학과,0.5,1,1.5,2.5,,
강원,가톨릭관동대,인문,1.학생부종합,가톨릭지도자추천전형,지리교육과,,,1,1,1,
강원,가톨릭관동대,인문,1.학생부종합,가톨릭지도자추천전형,호텔경영학과,1,1,1.5,0.5,,
강원,가톨릭관동대,인문,2.학생부교과,교과일반전형,경영학과,4.83,3.8,3.05,3.18,,
강원,가톨릭관동대,인문,2.학생부교과,교과일반전형,"경찰행정학부
(경찰행정학전공,해양경찰학전공)",7.52,3.77,3.4,4.18,,
강원,가톨릭관동대,인문,2.학생부교과,교과일반전형,관광경영학과,6.5,3.23,2.71,2.37,,
강원,가톨릭관동대,인문,2.학생부교과,교과일반전형,광고홍보학과,5.58,3.86,1.76,3.08,,
강원,가톨릭관동대,인문,2.학생부교과,교과일반전형,국어교육과,3.7,2.6,2.18,3.29,3.5,
강원,가톨릭관동대,인문,2.학생부교과,교과일반전형,사회복지학과,7.59,4.72,3.66,6.8,,
강원,가톨릭관동대,인문,2.학생부교과,교과일반전형,역사교육과,8.4,3.7,3.24,4.76,7.23,
강원,가톨릭관동대,인문,2.학생부교과,교과일반전형,영어교육과,3.67,3.6,2.07,3.8,2.16,
강원,가톨릭관동대,인문,2.학생부교과,교과일반전형,의료경영학과,4.74,2.74,2.87,3.66,,
강원,가톨릭관동대,인문,2.학생부교과,교과일반전형,조리외식경영학과,8.38,3.36,2.86,3.9,,
