지역,대학,계열,전형유형,세부전형명,모집단위명,입결등급 기준,2019,2020,2021,2022,수시등급 트렌드,평균등급,2019등급,2020등급,2021등급,2022등급,평균
강원,강원대,인문,2.학생부교과,일반전형,간호학과(인문),최초합격자평균,1.9,1.9,1.96,3.33,,2.27,1등급,1등급,1등급,3등급,2등급
강원,강원대,인문,2.학생부교과,일반전형,경영회계학부,최초합격자평균,2.7,2.7,2.81,3.38,,2.9,2등급,2등급,2등급,3등급,2등급
강원,강원대,인문,2.학생부교과,일반전형,경제정보통계학부,최초합격자평균,2.7,2.8,3.03,3.72,,3.06,2등급,2등급,3등급,3등급,3등급
강원,강원대,인문,2.학생부교과,일반전형,관광경영학과,최초합격자평균,2.5,2.4,2.79,3.08,,2.69,2등급,2등급,2등급,3등급,2등급
강원,강원대,인문,2.학생부교과,일반전형,교육학과,최초합격자평균,2.4,2.4,2.84,2.71,,2.59,2등급,2등급,2등급,2등급,2등급
강원,강원대,인문,2.학생부교과,일반전형,국어교육과,최초합격자평균,1.8,2.3,2.14,2.87,,2.28,1등급,2등급,2등급,2등급,2등급
강원,강원대,인문,2.학생부교과,일반전형,국제무역학과,최초합격자평균,2.9,2.6,3.38,4.2,,3.27,2등급,2등급,3등급,4등급,3등급
강원,강원대,인문,2.학생부교과,일반전형,문화인류학과,최초합격자평균,3.1,3,3.31,3.95,,3.34,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,2.학생부교과,일반전형,미디어커뮤니케이션학과,최초합격자평균,2.4,2.2,3.67,3.4,,2.92,2등급,2등급,3등급,3등급,2등급
강원,강원대,인문,2.학생부교과,일반전형,부동산학과,최초합격자평균,3.6,3,3.27,3.83,,3.43,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,2.학생부교과,일반전형,사회학과,최초합격자평균,2.6,2.6,2.6,3.49,,2.82,2등급,2등급,2등급,3등급,2등급
강원,강원대,인문,2.학생부교과,일반전형,역사교육과,최초합격자평균,1.9,1.8,1.99,2.53,,2.06,1등급,1등급,1등급,2등급,2등급
강원,강원대,인문,2.학생부교과,일반전형,영상문화학과,최초합격자평균,2.5,2.7,2.75,3.24,,2.8,2등급,2등급,2등급,3등급,2등급
강원,강원대,인문,2.학생부교과,일반전형,영어교육과,최초합격자평균,1.9,2.3,2.4,2.99,,2.4,1등급,2등급,2등급,2등급,2등급
강원,강원대,인문,2.학생부교과,일반전형,윤리교육과,최초합격자평균,2.1,1.9,2.15,2.97,,2.28,2등급,1등급,2등급,2등급,2등급
강원,강원대,인문,2.학생부교과,일반전형,인문학부,최초합격자평균,2.9,3,3.21,4.09,,3.3,2등급,3등급,3등급,4등급,3등급
강원,강원대,인문,2.학생부교과,일반전형,자유전공학부(인문계열),최초합격자평균,,3.3,3.01,3.48,,3.26,,3등급,3등급,3등급,3등급
강원,강원대,인문,2.학생부교과,일반전형,정치외교학과,최초합격자평균,2.4,2.7,3.17,3.7,,2.99,2등급,2등급,3등급,3등급,2등급
강원,강원대,인문,2.학생부교과,일반전형,지리교육과,최초합격자평균,2.2,2.5,3.13,3,,2.71,2등급,2등급,3등급,3등급,2등급
강원,강원대,인문,2.학생부교과,일반전형,행정심리학부,최초합격자평균,2.2,2.2,2.21,3.2,,2.45,2등급,2등급,2등급,3등급,2등급
강원,강원대,인문,2.학생부교과,지역인재전형,간호학과(인문),최초합격자평균,2.4,2.6,2.19,2.94,,2.53,2등급,2등급,2등급,2등급,2등급
강원,강원대,인문,2.학생부교과,지역인재전형,경영회계학부,최초합격자평균,2.6,2.8,2.8,3.09,,2.82,2등급,2등급,2등급,3등급,2등급
강원,강원대,인문,2.학생부교과,지역인재전형,경제정보통계학부,최초합격자평균,3.1,2.8,3.25,3.73,,3.22,3등급,2등급,3등급,3등급,3등급
강원,강원대,인문,2.학생부교과,지역인재전형,관광경영학과,최초합격자평균,3,2.6,2.63,3.53,,2.94,3등급,2등급,2등급,3등급,2등급
강원,강원대,인문,2.학생부교과,지역인재전형,교육학과,최초합격자평균,2.5,2,2.57,3.5,,2.64,2등급,2등급,2등급,3등급,2등급
강원,강원대,인문,2.학생부교과,지역인재전형,국어교육과,최초합격자평균,1.8,1.9,2.33,2.95,,2.25,1등급,1등급,2등급,2등급,2등급
강원,강원대,인문,2.학생부교과,지역인재전형,국제무역학과,최초합격자평균,3.2,3,3.27,3.73,,3.3,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,2.학생부교과,지역인재전형,문화인류학과,최초합격자평균,4.1,3.6,3.44,4.53,,3.92,4등급,3등급,3등급,4등급,3등급
강원,강원대,인문,2.학생부교과,지역인재전형,미디어커뮤니케이션학과,최초합격자평균,2.2,2.3,2.31,3.14,,2.49,2등급,2등급,2등급,3등급,2등급
강원,강원대,인문,2.학생부교과,지역인재전형,부동산학과,최초합격자평균,4.1,3.8,3.5,3.83,,3.81,4등급,3등급,3등급,3등급,3등급
강원,강원대,인문,2.학생부교과,지역인재전형,사회학과,최초합격자평균,3.1,4.9,2.64,3.29,,3.48,3등급,4등급,2등급,3등급,3등급
강원,강원대,인문,2.학생부교과,지역인재전형,역사교육과,최초합격자평균,,2.1,2.04,2.34,,2.16,,2등급,2등급,2등급,2등급
강원,강원대,인문,2.학생부교과,지역인재전형,영상문화학과,최초합격자평균,2.4,3.8,3.2,3.27,,3.17,2등급,3등급,3등급,3등급,3등급
강원,강원대,인문,2.학생부교과,지역인재전형,영어교육과,최초합격자평균,2.5,1.9,1.96,3,,2.34,2등급,1등급,1등급,3등급,2등급
강원,강원대,인문,2.학생부교과,지역인재전형,인문학부,최초합격자평균,3.2,3.1,3.06,3.97,,3.33,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,2.학생부교과,지역인재전형,일반사회교육과,최초합격자평균,2.3,2.5,2.01,3.41,,2.56,2등급,2등급,2등급,3등급,2등급
강원,강원대,인문,2.학생부교과,지역인재전형,자유전공학부(인문계열),최초합격자평균,,3.3,2.96,3.73,,3.33,,3등급,2등급,3등급,3등급
강원,강원대,인문,2.학생부교과,지역인재전형,정치외교학과,최초합격자평균,3.1,2.7,3.36,4.92,,3.52,3등급,2등급,3등급,4등급,3등급
강원,강원대,인문,2.학생부교과,지역인재전형,지리교육과,최초합격자평균,3,2.7,2.55,2.97,,2.81,3등급,2등급,2등급,2등급,2등급
강원,강원대,인문,2.학생부교과,지역인재전형,한문교육과,최초합격자평균,3.7,3.5,2.91,4.52,,3.66,3등급,3등급,2등급,4등급,3등급
강원,강원대,인문,2.학생부교과,지역인재전형,행정심리학부,최초합격자평균,2.3,2.2,2.2,2.9,,2.4,2등급,2등급,2등급,2등급,2등급
강원,강원대,인문,1.학생부종합,미래인재전형,간호학과(인문),1단계합격자평균,,2.7,3.01,2.62,,2.78,,2등급,3등급,2등급,2등급
강원,강원대,인문,1.학생부종합,미래인재전형,경영회계학부,1단계합격자평균,3.4,3.4,3.47,3.47,,3.44,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,경제정보통계학부,1단계합격자평균,3.6,3.6,3.59,3.79,,3.65,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,관광경영학과,1단계합격자평균,3.6,3.5,3.62,3.7,,3.61,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,교육학과,1단계합격자평균,2.4,2.3,2.52,2.58,,2.45,2등급,2등급,2등급,2등급,2등급
강원,강원대,인문,1.학생부종합,미래인재전형,국어교육과,1단계합격자평균,2.3,2.4,2.55,2.9,,2.54,2등급,2등급,2등급,2등급,2등급
강원,강원대,인문,1.학생부종합,미래인재전형,국제무역학과,1단계합격자평균,3.7,3.6,3.77,3.69,,3.69,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,문화인류학과,1단계합격자평균,4.8,3.7,5.2,3.84,,4.39,4등급,3등급,5등급,3등급,4등급
강원,강원대,인문,1.학생부종합,미래인재전형,미디어커뮤니케이션학과,1단계합격자평균,2.8,3,3.43,3.52,,3.19,2등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,사회학과,1단계합격자평균,3.8,3.5,3.38,3.5,,3.55,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,영상문화학과,1단계합격자평균,3.4,3.4,3.37,3.64,,3.45,3등급,3등급,3등급,3등급,3등급
강원,강원대,인문,1.학생부종합,미래인재전형,영어교육과,1단계합격자평균,2.7,2.5,2.9,3.11,,2.8,2등급,2등급,2등급,3등급,2등급
